degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,proof_time,proof_size,verify_time
19,1,1,1,18,88,3,13.897434666s,960,4.285541ms
18,2,1,1,17,88,3,8.258580458s,1344,3.587583ms
17,4,1,1,16,88,3,4.947399125s,1920,4.246166ms
16,8,2,1,15,90,3,4.321232541s,3552,4.549916ms
15,17,3,1,14,90,3,3.914714541s,6560,6.320916ms
14,34,6,1,13,91,3,4.085665625s,12704,17.808208ms
13,68,12,1,12,88,3,5.065171541s,24960,33.11025ms
12,139,24,2,11,88,3,6.353079375s,50496,34.114583ms
11,291,53,4,10,88,3,9.00675475s,106496,39.040916ms
