degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,proof_time,proof_size,verify_time
19,1,1,1,18,88,3,12.5126335s,960,3.791541ms
18,2,1,1,17,88,3,8.321797583s,1344,31.930333ms
17,4,1,1,16,88,3,4.677586958s,1920,3.800792ms
16,8,2,1,15,90,3,3.870800417s,3552,5.142667ms
15,17,3,1,14,90,3,3.511070667s,6560,5.987625ms
14,34,6,1,13,91,3,3.533403792s,12704,8.140209ms
13,68,12,1,12,88,3,4.321795125s,24960,12.259ms
12,139,24,2,11,88,3,5.431206625s,50496,45.860042ms
11,291,53,4,10,88,3,6.905906417s,106496,51.807ms
